year,total_invert,pcod,summer_bt,Mean_AO,mature_male_d95,ph,inshore_run_size,prop_closed_area,prop_empty,bbrkc_northern_ratio,wind_stress,chla
2002,5405.497579,904.4191828,3.571111111,1.195666667,14035,8.0114,16.87635231,80.40965305,1.978625096,0.009050639,4.77,2.03
2003,4396.459623,1124.30201,4.066165414,0.196333333,14837,7.9879,24.8890229,37.21687172,0,0.008492955,5.69,1.85
2004,5461.136678,835.8888598,3.77238806,-0.965333333,12431,8.0092,41.89770127,29.17989247,1.170247195,0.007940761,5.33,1.97
2005,5308.752931,725.2599999,4.284615385,-0.754333333,15639,7.9902,39.352245,39.46709571,0,0.009233224,5.27,1.9
2006,5252.632441,633.7446267,2.417910448,-0.643333333,16842,8.0121,42.930997,37.3872611,0.511359034,0.018222939,5.14,1.47
2007,5273.061998,590.7283335,2.122794118,0.636333333,17243,7.9972,44.750563,38.02926257,15.29039914,0.021704217,5.36,1.68
2008,4100.677518,581.6153859,1.633088235,0.781,15639,8.0033,40.418833,41.18273001,4.727289162,0.025684344,4.67,1.66
2009,3728.988878,845.1157862,1.416911765,0.083,12030,7.989,40.435832,46.30399238,4.32977787,0.042160299,4.98,1.7
2010,4316.164657,2040.651939,1.773529412,-2.428333333,12431,7.9934,40.649123,66.76389563,10.1007837,0.050125579,6.34,2.24
2011,4989.812685,1987.764037,2.836764706,0.438666667,13634,7.9927,30.556176,72.87821298,7.085679725,0.02103856,7.24,1.88
2012,5520.996671,1682.492713,1.220588235,0.260333333,14837,7.9981,30.368427,50.80421266,1.93066032,0.044617562,6.02,1.71
2013,5293.610281,1756.969059,2.374264706,-1.600666667,12431,7.9814,24.439331,60.3341052,1.271665263,0.05910882,5.39,1.82
2014,4666.718972,1928.814386,4.148529412,0.093666667,14837,7.969,41.149458,51.29172911,0,0.185907015,6.77,2.13
2015,4635.539144,2070.290222,4.490441176,1.324,15639,7.9788,58.809321,59.04394505,0.172807586,0.031192693,6.05,2.07
2016,5395.3522,1640.757237,5.488235294,-0.397666667,18446,7.9739,51.654253,48.64124365,0,0.021014829,5.93,1.89
2017,6530.882173,1081.217577,2.833823529,0.882333333,20451,7.9989,57.574713,45.21502629,6.567070746,0.042754729,5.59,1.78
2018,4471.236427,915.4902863,4.613235294,-0.369666667,19248,7.9724,62.951884,43.37306588,2.142460984,0.054523226,6.05,1.78
2019,5052.245006,895.8592574,5.105147059,0.850666667,18045,7.9673,56.412533,43.31627316,0.697704579,0.045239649,6.58,1.86
2020,NA,NA,NA,2.825666667,NA,7.992,57.958981,NA,NA,NA,6.04,2.04
2021,5702.043552,921.5780688,3.923529412,-0.522,16441,7.9729,67.621599,43.53766654,6.009179906,0.23373405,6.298776727,2.11
2022,6585.068545,1158.128291,3.103676471,0.899,18045,7.9717,78.952498,46.68665708,0,0.119063508,5.844716161,2.01
2023,5241.518998,1412.376065,3.116911765,0.402,15639,7.9578,53,68.35685993,0,0.087421448,5.384547389,2.28
2024,5373.534375,1306.925922,3.202941176,-0.061666667,19248,7.9657,52.5,67.72028049,0.699488608,0.103761389,6.056341459,2.06
2025,5141.070883,1166.449021,4.069852941,-0.125666667,17644,7.9445,55.96513,60.04552479,3.649983343,0.066661613,6.409407585,2.61
