# pirkc																																														
# start year																																															
1976																																															
# endyr																																															
2023																																															
# number of years																																															
48																																															
# years																																															
1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
# number of sizes																																															
35																																															
# sizes																																															
47.5	52.5	57.5	62.5	67.5	72.5	77.5	82.5	87.5	92.5	97.5	102.5	107.5	112.5	117.5	122.5	127.5	132.5	137.5	142.5	147.5	152.5	157.5	162.5	167.5	172.5	177.5	182.5	187.5	192.5	197.5	202.5	207.5	212.5	217.5													
# numbers																																															
50778.34904	228476.8644	367139.7254	199032.709	452189.3695	83002.78176	352166.4796	144735.0479	76883.43557	16822.6846	38418.88373	18610.95264	1963774.597	1844076.145	7826526.91	3100675.274	1861537.842	3787997.18	3452062.441	5604145.495	683610.6941	3155556.493	1192015.2	9102897.625	1674066.607	6157584.351	1910262.93	1506200.797	2196794.785	302997.4205	1508612.503	1453871.107	1721466.997	923132.6513	1512074.707	1052227.597	1609444.49	1831376.622	3036807.257	3662609.706	1807323.293	1158383.101	1804399.604	1148964.483	0	1278704.383	1327879.391	734939.4997
# numbers at carapace length																																															
0.013086445	0	0	0	0	0	0	0	0.039259335	0.08961768	0.039259335	0.013086445	0.013086445	0	0.013086445	0.065432225	0.089459287	0.091605115	0.159213894	0.10330656	0.118513765	0.10075925	0.027613684	0.023614091	0	0	0	0	0	0	0	0	0	0	0													
0	0	0	0	0	0	0	0	0	0	0	0.016867584	0.016867584	0	0.033735168	0	0.033735168	0.067470335	0.10029847	0.116022714	0.194030872	0.162588144	0.061426011	0.141416129	0.038674238	0.016867584	0	0	0	0	0	0	0	0	0													
0	0	0	0	0	0	0	0	0	0	0.005624904	0.005624904	0.039374328	0.02812452	0.044999232	0.05624904	0.067498848	0.050117449	0.049669299	0.090059158	0.051191517	0.086614527	0.110007574	0.123955024	0.078569048	0.046044031	0.055533477	0.010743121	0	0	0	0	0	0	0													
0	0	0.003140538	0	0	0	0	0.003140538	0.006281075	0	0.006281075	0.006281075	0.017721034	0.022992936	0.017555527	0.023919355	0.054797944	0.057938481	0.039622043	0.067029079	0.074432345	0.046333015	0.035276561	0.098591424	0.094631886	0.13091762	0.082065127	0.056350031	0.045527941	0.009173351	0	0	0	0	0													
0	0	0	0	0	0	0	0	0.062238342	0.069331762	0	0	0.027572461	0	0	0	0.02742519	0	0.034665881	0.02742519	0.028279473	0.064337293	0.091762482	0.02742519	0.070600555	0.02742519	0.181434382	0.125301748	0.055450844	0.079324019	0	0	0	0	0													
0	0	0	0	0	0.006032734	0.006032734	0.030163669	0	0.024130935	0.06012919	0.085198235	0.109455311	0.096720298	0.095754298	0.011590162	0.011590162	0.012210795	0.030454325	0.024276263	0.030314458	0.029869231	0.043210541	0.024442734	0.017570076	0.067254083	0.043327747	0.055602555	0.048308481	0.012086611	0.024274372	0	0	0	0													
0	0	0	0	0	0	0	0	0.016510807	0	0.033021613	0.06247869	0.047904475	0.075019505	0.106165833	0.087469199	0.137516972	0.05594526	0.089251467	0.016510807	0.012662225	0.014728538	0.033021613	0	0	0.044853397	0.045562428	0.046635665	0.030557786	0.044183719	0	0	0	0	0													
0	0	0.004967362	0.004967362	0.034771531	0.104314594	0.168890295	0.129151402	0.144053487	0.104314594	0.044706255	0.023894156	0.018455468	0.004496035	0.009463397	0.016988553	0.030625652	0.019772535	0.028178298	0.02071391	0.014296181	0.006314905	0.013568071	0	0.008581499	0.006298157	0.006744053	0.008992071	0.013488106	0.008992071	0	0	0	0	0													
0	0	0	0	0	0	0	0	0	0	0	0.011469741	0.011642427	0.023112168	0.034754594	0.056074813	0.055139577	0.079956467	0.044258928	0.089139213	0.199689959	0.141717729	0.078124306	0.062435425	0.039655283	0.011469741	0.050845728	0	0	0	0.010513902	0	0	0	0													
0	0	0	0	0	0	0.003004029	0.003004029	0.017675852	0.048064457	0.0420564	0.072096686	0.0841128	0.078104743	0.075100715	0.087116829	0.096128915	0.096304583	0.054160349	0.042530809	0.039052372	0.048761345	0.036609562	0.030298002	0.02146464	0.009228778	0.006095891	0.003004029	0.003020157	0	0	0.003004029	0	0	0													
0	0	0	0	0	0	0	0.00992912	0	0	0	0	0	0	0.008736044	0	0	0	0.017768964	0.026653447	0.072120496	0.057354802	0.13432361	0.261975536	0.133639877	0.142668974	0.037627205	0.077343685	0.01985824	0	0	0	0	0	0													
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.036085595	0.072171189	0	0.018042797	0.106557878	0.112425475	0.218490385	0.154598669	0.110447905	0.14167508	0	0.01146223	0.018042797	0	0	0	0	0													
0.226054506	0.180843605	0.099463983	0.054253082	0.00904218	0	0.008287459	0	0	0	0.00904218	0	0	0	0	0	0	0	0	0	0	0.018767966	0.016969973	0.046340032	0.072337442	0.08858845	0.082158703	0.026031198	0.035430711	0.00904218	0.01734635	0	0	0	0													
0	0	0	0	0	0	0	0	0	0	0	0.121581255	0	0	0.060790627	0	0	0	0	0	0	0	0	0	0	0.298521702	0.119529535	0.185584811	0.092792406	0.121199663	0	0	0	0	0													
0	0	0	0	0	0	0	0	0	0	0	0.012325271	0	0.024650541	0.027872349	0.025577888	0.038366831	0.055452528	0.012788944	0.025577888	0	0	0	0.027872349	0	0.077576425	0.091244876	0.127917862	0.176240611	0.121363598	0.074399864	0.046515373	0.034256802	0	0													
