fishery,management_area,target,crab_year,group,total_catch_num,total_catch_t
TR07,bristol_bay,red_king_crab,2007,female,731650.953006569,799.3634954563357
TR08,bristol_bay,red_king_crab,2008,sublegal,3705677.306608884,5547.488710830667
TR08,bristol_bay,red_king_crab,2008,tot_legal,3132814.9507042253,9347.424865753317
TR08,bristol_bay,red_king_crab,2008,female,662312.8759479957,724.1720538491335
TR09,bristol_bay,red_king_crab,2009,sublegal,2968575.67183713,4611.714301385773
TR09,bristol_bay,red_king_crab,2009,tot_legal,2706640.824042656,7607.053466031612
TR09,bristol_bay,red_king_crab,2009,female,350730.24091129424,441.2799772545028
TR10,bristol_bay,red_king_crab,2010,sublegal,2472081.550103306,3881.0122717468034
TR10,bristol_bay,red_king_crab,2010,tot_legal,2258922.807334711,6214.349128461363
TR10,bristol_bay,red_king_crab,2010,female,470492.27944214875,592.5505509106672
TR11,bristol_bay,red_king_crab,2011,sublegal,1250160.9651474531,1886.2441685140875
TR11,bristol_bay,red_king_crab,2011,tot_legal,1386837.8659517427,3779.048108438662
TR11,bristol_bay,red_king_crab,2011,female,118510.59517426272,124.82216904220152
TR12,bristol_bay,red_king_crab,2012,sublegal,575785.2314225053,866.8471627575884
TR12,bristol_bay,red_king_crab,2012,tot_legal,1190000.127388535,3628.638614848007
TR12,bristol_bay,red_king_crab,2012,female,46511.43949044586,55.89742692761717
TR13,bristol_bay,red_king_crab,2013,sublegal,879594.9261939218,1284.7253494193722
TR13,bristol_bay,red_king_crab,2013,tot_legal,1300783.7583212736,4021.0611584183757
TR13,bristol_bay,red_king_crab,2013,female,409457.3039073806,490.7024687761165
TR14,bristol_bay,red_king_crab,2014,sublegal,1147051.6129032257,1798.9723237702801
TR14,bristol_bay,red_king_crab,2014,tot_legal,2082962.1415770608,6314.857116871277
TR14,bristol_bay,red_king_crab,2014,female,275900.67204301077,424.29266111785944
TR15,bristol_bay,red_king_crab,2015,sublegal,816296.9162995595,1242.000747193421
TR15,bristol_bay,red_king_crab,2015,tot_legal,1818193.973568282,5484.797749064057
TR15,bristol_bay,red_king_crab,2015,female,801259.8678414096,1195.5901447824003
TR16,bristol_bay,red_king_crab,2016,sublegal,676982.3399558498,958.1999243018165
TR16,bristol_bay,red_king_crab,2016,tot_legal,1551087.0993377485,4693.597499371734
TR16,bristol_bay,red_king_crab,2016,female,432823.55849889625,617.1591709637379
TR17,bristol_bay,red_king_crab,2017,sublegal,699765.8384074941,904.4485533117
TR17,bristol_bay,red_king_crab,2017,tot_legal,1028230.8793911007,3172.7464047427216
TR17,bristol_bay,red_king_crab,2017,female,233063.36299765809,266.90652117060984
TR18,bristol_bay,red_king_crab,2018,sublegal,799675.5169172932,1023.8024518193456
TR18,bristol_bay,red_king_crab,2018,tot_legal,741134.8214285714,2399.4426519533263
TR18,bristol_bay,red_king_crab,2018,female,591898.1203007519,750.4262495640517
TR19,bristol_bay,red_king_crab,2019,sublegal,688982.3333333334,999.954995055584
TR19,bristol_bay,red_king_crab,2019,tot_legal,673220.1016442452,2144.6690755895534
TR19,bristol_bay,red_king_crab,2019,female,151966.7653213752,218.03856120926963
TR20,bristol_bay,red_king_crab,2020,sublegal,566071.7547169811,780.0553594838324
TR20,bristol_bay,red_king_crab,2020,tot_legal,552176.716981132,1519.6101261121714
TR20,bristol_bay,red_king_crab,2020,female,64575.00628930818,76.08538737820075
TR21,bristol_bay,red_king_crab,2021,sublegal,8114.4000000000005,11.722966713324395
TR21,bristol_bay,red_king_crab,2021,tot_legal,8055.5999999999995,22.109260333191095
TR21,bristol_bay,red_king_crab,2021,female,21065.100000000002,29.4092569925481
TR22,bristol_bay,red_king_crab,2022,sublegal,2823.333333333333,4.517811105780849
TR22,bristol_bay,red_king_crab,2022,tot_legal,8147.333333333333,23.74173017009967
TR22,bristol_bay,red_king_crab,2022,female,3014.916666666667,4.659263486953631
TR23,bristol_bay,red_king_crab,2023,sublegal,NA,NA
TR23,bristol_bay,red_king_crab,2023,tot_legal,NA,NA
TR23,bristol_bay,red_king_crab,2023,female,NA,NA
