fishery,management_area,target,crab_year,sex,size,molting,soft,new,old,very_old,unknown,total
TT07,bristol_bay,tanner_crab,2007,male,129,0,0,1,0,0,0,1
TT07,bristol_bay,tanner_crab,2007,female,94,0,0,1,0,0,0,1
TT07,bristol_bay,tanner_crab,2007,female,95,0,0,1,0,0,0,1
TT07,bristol_bay,tanner_crab,2007,female,96,0,0,2,0,0,0,2
TT07,bristol_bay,tanner_crab,2007,female,97,0,0,2,0,0,0,2
TT07,bristol_bay,tanner_crab,2007,female,98,0,0,2,0,0,0,2
TT07,bristol_bay,tanner_crab,2007,female,99,0,0,2,0,0,0,2
TT07,bristol_bay,tanner_crab,2007,female,100,0,0,2,0,0,0,2
TT07,bristol_bay,tanner_crab,2007,female,101,0,0,4,0,0,0,4
TT07,bristol_bay,tanner_crab,2007,female,102,0,0,3,0,0,0,3
TT07,bristol_bay,tanner_crab,2007,female,103,0,0,2,0,0,0,2
TT07,bristol_bay,tanner_crab,2007,female,104,0,0,1,0,0,0,1
TT07,bristol_bay,tanner_crab,2007,female,105,0,0,3,0,0,0,3
TT07,bristol_bay,tanner_crab,2007,female,106,0,0,4,0,0,0,4
TT07,bristol_bay,tanner_crab,2007,female,107,0,0,1,0,0,0,1
TT07,bristol_bay,tanner_crab,2007,female,108,0,0,2,0,0,0,2
TT07,bristol_bay,tanner_crab,2007,female,109,0,0,3,0,0,0,3
TT07,bristol_bay,tanner_crab,2007,female,110,0,0,1,0,0,0,1
TT07,bristol_bay,tanner_crab,2007,female,111,0,0,2,0,0,0,2
TT07,bristol_bay,tanner_crab,2007,female,112,0,0,2,0,0,0,2
TT07,bristol_bay,tanner_crab,2007,female,113,0,0,1,0,0,0,1
TT07,bristol_bay,tanner_crab,2007,female,114,0,0,1,0,0,0,1
TT07,bristol_bay,tanner_crab,2007,female,115,0,0,1,0,0,0,1
TT07,bristol_bay,tanner_crab,2007,female,117,0,0,1,0,0,0,1
TT07,bristol_bay,tanner_crab,2007,female,118,0,0,2,0,0,0,2
TT07,bristol_bay,tanner_crab,2007,female,121,0,0,1,0,0,0,1
TT07,bristol_bay,tanner_crab,2007,female,122,0,0,1,0,0,0,1
TT08,bristol_bay,tanner_crab,2008,male,96,0,0,1,0,0,0,1
TT08,bristol_bay,tanner_crab,2008,male,104,0,0,2,0,0,0,2
TT08,bristol_bay,tanner_crab,2008,male,106,0,0,1,0,0,0,1
TT08,bristol_bay,tanner_crab,2008,male,107,0,0,1,0,0,0,1
TT08,bristol_bay,tanner_crab,2008,male,108,0,0,2,0,0,0,2
TT08,bristol_bay,tanner_crab,2008,male,110,0,0,1,0,0,0,1
TT08,bristol_bay,tanner_crab,2008,male,111,0,0,2,0,0,0,2
TT08,bristol_bay,tanner_crab,2008,male,112,0,0,6,0,0,0,6
TT08,bristol_bay,tanner_crab,2008,male,113,0,0,2,0,0,0,2
TT08,bristol_bay,tanner_crab,2008,male,114,0,0,2,0,0,0,2
TT08,bristol_bay,tanner_crab,2008,male,115,0,0,4,0,0,0,4
TT08,bristol_bay,tanner_crab,2008,male,116,0,0,2,0,0,0,2
TT08,bristol_bay,tanner_crab,2008,male,117,0,0,4,0,0,0,4
TT08,bristol_bay,tanner_crab,2008,male,118,0,0,4,0,0,0,4
TT08,bristol_bay,tanner_crab,2008,male,119,0,0,3,0,0,0,3
TT08,bristol_bay,tanner_crab,2008,male,120,0,0,1,0,0,0,1
TT08,bristol_bay,tanner_crab,2008,male,121,0,0,5,0,0,0,5
TT08,bristol_bay,tanner_crab,2008,male,122,0,0,1,0,0,0,1
TT08,bristol_bay,tanner_crab,2008,male,123,0,0,1,0,0,0,1
TT08,bristol_bay,tanner_crab,2008,male,124,0,0,1,0,0,0,1
TT08,bristol_bay,tanner_crab,2008,male,125,0,0,4,1,0,0,5
TT08,bristol_bay,tanner_crab,2008,male,126,0,0,0,1,0,0,1
TT08,bristol_bay,tanner_crab,2008,male,127,0,0,3,3,0,0,6
TT08,bristol_bay,tanner_crab,2008,male,128,0,0,1,0,0,0,1
TT08,bristol_bay,tanner_crab,2008,male,132,0,0,1,1,0,0,2
TT08,bristol_bay,tanner_crab,2008,male,133,0,0,1,2,0,0,3
TT08,bristol_bay,tanner_crab,2008,male,136,0,0,1,0,0,0,1
TT08,bristol_bay,tanner_crab,2008,male,137,0,0,1,0,0,0,1
TT08,bristol_bay,tanner_crab,2008,male,139,0,0,2,0,0,0,2
TT08,bristol_bay,tanner_crab,2008,male,149,0,0,1,0,0,0,1
TT08,bristol_bay,tanner_crab,2008,male,154,0,0,0,0,0,1,1
TT08,bristol_bay,tanner_crab,2008,male,168,0,0,2,0,0,0,2
TT08,bristol_bay,tanner_crab,2008,female,93,0,0,1,0,0,0,1
TT08,bristol_bay,tanner_crab,2008,female,99,0,0,1,0,0,0,1
TT08,bristol_bay,tanner_crab,2008,female,102,0,0,1,0,0,0,1
TT08,bristol_bay,tanner_crab,2008,female,104,0,0,1,0,0,0,1
TT08,bristol_bay,tanner_crab,2008,female,105,0,0,2,0,0,0,2
TT08,bristol_bay,tanner_crab,2008,female,107,0,0,2,0,0,0,2
TT08,bristol_bay,tanner_crab,2008,female,108,0,0,5,0,0,0,5
TT08,bristol_bay,tanner_crab,2008,female,110,0,0,1,0,0,0,1
TT08,bristol_bay,tanner_crab,2008,female,111,0,0,2,0,0,0,2
TT08,bristol_bay,tanner_crab,2008,female,112,0,0,3,0,0,0,3
TT08,bristol_bay,tanner_crab,2008,female,113,0,0,1,0,0,0,1
TT08,bristol_bay,tanner_crab,2008,female,114,0,0,1,0,0,0,1
TT08,bristol_bay,tanner_crab,2008,female,115,0,0,0,1,0,0,1
TT08,bristol_bay,tanner_crab,2008,female,116,0,0,2,1,0,0,3
TT08,bristol_bay,tanner_crab,2008,female,117,0,0,3,0,0,0,3
TT08,bristol_bay,tanner_crab,2008,female,119,0,0,1,0,0,0,1
TT08,bristol_bay,tanner_crab,2008,female,120,0,0,4,0,0,0,4
TT08,bristol_bay,tanner_crab,2008,female,121,0,0,5,0,0,0,5
TT08,bristol_bay,tanner_crab,2008,female,122,0,0,2,0,0,0,2
TT08,bristol_bay,tanner_crab,2008,female,124,0,0,3,0,0,0,3
TT08,bristol_bay,tanner_crab,2008,female,125,0,0,4,0,0,0,4
TT08,bristol_bay,tanner_crab,2008,female,126,0,0,3,0,0,0,3
TT08,bristol_bay,tanner_crab,2008,female,127,0,0,3,0,0,0,3
TT08,bristol_bay,tanner_crab,2008,female,128,0,0,1,0,0,0,1
TT08,bristol_bay,tanner_crab,2008,female,129,0,0,3,0,0,0,3
TT08,bristol_bay,tanner_crab,2008,female,131,0,0,3,0,0,0,3
TT08,bristol_bay,tanner_crab,2008,female,132,0,0,1,0,0,0,1
TT08,bristol_bay,tanner_crab,2008,female,133,0,0,1,0,0,0,1
TT08,bristol_bay,tanner_crab,2008,female,134,0,0,2,0,0,0,2
TT08,bristol_bay,tanner_crab,2008,female,135,0,0,2,0,0,0,2
TT08,bristol_bay,tanner_crab,2008,female,136,0,0,1,0,0,0,1
TT08,bristol_bay,tanner_crab,2008,female,138,0,0,1,0,0,0,1
TT08,bristol_bay,tanner_crab,2008,female,139,0,0,2,0,0,0,2
TT08,bristol_bay,tanner_crab,2008,female,141,0,0,0,1,0,0,1
TT08,bristol_bay,tanner_crab,2008,female,143,0,0,1,0,0,0,1
TT08,bristol_bay,tanner_crab,2008,female,144,0,0,1,0,0,0,1
TT09,bristol_bay,tanner_crab,2009,male,102,0,0,1,0,0,0,1
TT09,bristol_bay,tanner_crab,2009,male,106,0,0,1,0,0,0,1
TT09,bristol_bay,tanner_crab,2009,male,107,0,0,1,0,0,0,1
TT09,bristol_bay,tanner_crab,2009,male,109,0,0,1,0,0,0,1
TT09,bristol_bay,tanner_crab,2009,male,111,0,0,2,0,0,0,2
TT09,bristol_bay,tanner_crab,2009,male,114,0,0,2,0,0,0,2
TT09,bristol_bay,tanner_crab,2009,male,115,0,0,2,0,0,0,2
TT09,bristol_bay,tanner_crab,2009,male,118,0,0,1,0,0,0,1
TT09,bristol_bay,tanner_crab,2009,male,120,0,0,3,0,0,0,3
TT09,bristol_bay,tanner_crab,2009,male,121,0,0,1,0,0,0,1
TT09,bristol_bay,tanner_crab,2009,male,122,0,0,2,0,0,0,2
TT09,bristol_bay,tanner_crab,2009,male,123,0,0,1,0,0,0,1
TT09,bristol_bay,tanner_crab,2009,male,125,0,0,2,0,0,0,2
TT09,bristol_bay,tanner_crab,2009,male,126,0,0,1,0,0,0,1
TT09,bristol_bay,tanner_crab,2009,male,127,0,0,3,0,0,0,3
TT09,bristol_bay,tanner_crab,2009,male,129,0,0,4,0,0,0,4
TT09,bristol_bay,tanner_crab,2009,male,130,0,0,2,0,0,0,2
TT09,bristol_bay,tanner_crab,2009,male,131,0,0,1,0,0,0,1
TT09,bristol_bay,tanner_crab,2009,male,133,0,0,1,0,0,0,1
TT09,bristol_bay,tanner_crab,2009,male,134,0,0,2,0,0,0,2
TT09,bristol_bay,tanner_crab,2009,male,136,0,0,2,0,0,0,2
TT09,bristol_bay,tanner_crab,2009,male,137,0,0,4,0,0,0,4
TT09,bristol_bay,tanner_crab,2009,male,138,0,0,5,0,0,0,5
TT09,bristol_bay,tanner_crab,2009,male,139,0,0,1,0,0,0,1
TT09,bristol_bay,tanner_crab,2009,male,140,0,0,4,0,0,0,4
TT09,bristol_bay,tanner_crab,2009,male,141,0,0,3,0,0,0,3
TT09,bristol_bay,tanner_crab,2009,male,142,0,0,2,0,0,0,2
TT09,bristol_bay,tanner_crab,2009,male,144,0,0,3,0,0,0,3
TT09,bristol_bay,tanner_crab,2009,male,146,0,0,1,0,0,0,1
TT09,bristol_bay,tanner_crab,2009,male,147,0,0,2,0,0,0,2
TT09,bristol_bay,tanner_crab,2009,male,148,0,0,1,0,0,0,1
TT09,bristol_bay,tanner_crab,2009,male,149,0,0,4,0,0,0,4
TT09,bristol_bay,tanner_crab,2009,male,154,0,0,1,0,0,0,1
TT09,bristol_bay,tanner_crab,2009,male,168,0,0,1,0,0,0,1
TT09,bristol_bay,tanner_crab,2009,female,96,0,0,1,0,0,0,1
TT09,bristol_bay,tanner_crab,2009,female,99,0,0,2,0,0,0,2
TT09,bristol_bay,tanner_crab,2009,female,101,0,0,4,0,0,0,4
TT09,bristol_bay,tanner_crab,2009,female,103,0,0,5,0,0,0,5
TT09,bristol_bay,tanner_crab,2009,female,104,0,0,3,0,0,0,3
TT09,bristol_bay,tanner_crab,2009,female,105,0,0,2,0,0,0,2
TT09,bristol_bay,tanner_crab,2009,female,106,0,0,2,0,0,0,2
TT09,bristol_bay,tanner_crab,2009,female,107,0,0,1,0,0,0,1
TT09,bristol_bay,tanner_crab,2009,female,108,0,0,6,0,0,0,6
TT09,bristol_bay,tanner_crab,2009,female,109,0,0,2,0,0,0,2
TT09,bristol_bay,tanner_crab,2009,female,110,0,0,1,0,0,0,1
TT09,bristol_bay,tanner_crab,2009,female,111,0,0,2,0,0,0,2
TT09,bristol_bay,tanner_crab,2009,female,112,0,0,2,0,0,0,2
TT09,bristol_bay,tanner_crab,2009,female,113,0,0,3,0,0,0,3
TT09,bristol_bay,tanner_crab,2009,female,114,0,0,2,0,0,0,2
TT09,bristol_bay,tanner_crab,2009,female,117,0,0,3,0,0,0,3
TT09,bristol_bay,tanner_crab,2009,female,118,0,0,5,0,0,0,5
TT09,bristol_bay,tanner_crab,2009,female,119,0,0,3,0,0,0,3
TT09,bristol_bay,tanner_crab,2009,female,120,0,0,5,0,0,0,5
TT09,bristol_bay,tanner_crab,2009,female,121,0,0,6,0,0,0,6
TT09,bristol_bay,tanner_crab,2009,female,122,0,0,9,0,0,0,9
TT09,bristol_bay,tanner_crab,2009,female,123,0,0,5,0,0,0,5
TT09,bristol_bay,tanner_crab,2009,female,124,0,0,6,0,0,0,6
TT09,bristol_bay,tanner_crab,2009,female,125,0,0,2,0,0,0,2
TT09,bristol_bay,tanner_crab,2009,female,126,0,0,4,0,0,0,4
TT09,bristol_bay,tanner_crab,2009,female,127,0,0,2,0,0,0,2
TT09,bristol_bay,tanner_crab,2009,female,128,0,0,7,0,0,0,7
TT09,bristol_bay,tanner_crab,2009,female,129,0,0,6,0,0,0,6
TT09,bristol_bay,tanner_crab,2009,female,130,0,0,4,0,0,0,4
TT09,bristol_bay,tanner_crab,2009,female,131,0,0,3,0,0,0,3
TT09,bristol_bay,tanner_crab,2009,female,132,0,0,2,0,0,0,2
TT09,bristol_bay,tanner_crab,2009,female,133,0,0,1,0,0,0,1
TT09,bristol_bay,tanner_crab,2009,female,134,0,0,2,0,0,0,2
TT09,bristol_bay,tanner_crab,2009,female,135,0,0,4,0,0,0,4
TT09,bristol_bay,tanner_crab,2009,female,136,0,0,1,0,0,0,1
TT09,bristol_bay,tanner_crab,2009,female,137,0,0,1,0,0,0,1
TT09,bristol_bay,tanner_crab,2009,female,138,0,0,1,0,0,0,1
TT09,bristol_bay,tanner_crab,2009,female,139,0,0,1,0,0,0,1
TT09,bristol_bay,tanner_crab,2009,female,140,0,0,1,0,0,0,1
TT09,bristol_bay,tanner_crab,2009,female,145,0,0,2,0,0,0,2
TT09,bristol_bay,tanner_crab,2009,female,150,0,0,1,0,0,0,1
TT13,bristol_bay,tanner_crab,2013,male,74,0,0,1,0,0,0,1
TT13,bristol_bay,tanner_crab,2013,male,90,0,0,2,0,0,0,2
TT13,bristol_bay,tanner_crab,2013,male,91,0,0,1,0,0,0,1
TT13,bristol_bay,tanner_crab,2013,male,93,0,0,2,0,0,0,2
TT13,bristol_bay,tanner_crab,2013,male,94,0,0,2,0,0,0,2
